ID,Time_real,Time_pred_class,Time_real_class,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken_min,Peak_flag,region,region_city,avg_time_by_region_city,distance_km,long_distance,vehicle_condition_binary,prep_time,Restaurant_name_real,Restaurant_lat_real,Restaurant_lon_real,Delivery_lat_real,Delivery_lon_real
0xa03a ,31.0,3.0,3.0,0.0,0.0,0.0,3.6659108087679516e-05,0.44001159151671815,0.27561437920651866,0.28384757425030904,0.0002173336867214418,0.0002724622316459051,SURRES02DEL01 ,32,3.8,2022-03-18,2022-03-18 19:35:00,2022-03-18 19:40:00,Windy,Jam ,Drinks ,motorcycle ,0.0,No ,Metropolitian ,31.0,1,surat,surat_Metropolitian ,27.114797031863816,16.72059667667709,1,1,5.0,Indian Tapas Bar,21.1549659,72.7633496,21.009645087924213,72.8071352818478
0x9be5 ,15.0,1.5,1.5,0.0,0.9984857717918642,1.7899930171103616e-05,0.0007024513137416879,0.00047207985139680617,0.00032179711282615344,0.0,0.0,0.0,VADRES19DEL03 ,38,4.6,2022-03-13,2022-03-13 18:20:00,2022-03-13 18:35:00,Cloudy,Medium ,Drinks ,scooter ,1.0,No ,Urban ,15.0,1,vadodara,vadodara_Urban ,23.208695652173912,9.087965501261484,0,1,15.0,The Brewery.,22.3250471,73.1716354,22.26650694157194,73.10982431135858
0xca1 ,10.0,1.5,1.0,0.33871840958239835,0.5467170038231488,0.06576977543333833,0.0486360730614215,0.00015873809969250497,0.0,0.0,0.0,0.0,HYDRES19DEL01 ,20,4.7,2022-03-17,2022-03-17 15:30:00,2022-03-17 15:45:00,Sunny,Medium ,Meal ,scooter ,1.0,No ,Metropolitian ,10.0,1,hyderabad,hyderabad_Metropolitian ,27.338254450716455,6.14663364596065,0,1,15.0,Parampara - Flavours Of India,17.4150787,78.4501365,17.433408558574047,78.39552396556952
0x8053 ,15.0,2.0,1.5,0.002204975717976768,0.29346087774181356,0.3946112052204234,0.309635861463601,8.707985618629811e-05,0.0,0.0,0.0,0.0,COIMBRES09DEL02 ,35,4.8,2022-03-10,2022-03-10 00:00:00,2022-03-10 00:05:00,Stormy,Low ,Buffet ,motorcycle ,1.0,No ,Metropolitian ,15.0,0,coimbatore,coimbatore_Metropolitian ,27.304291287386217,12.464226008964719,1,1,5.0,Welcomcafe Kovai,10.9963376,76.97384339999999,10.883656987527946,76.97438634150406
0x50f3 ,33.0,3.0,3.0,6.002400960384154e-06,0.0009695154657607723,0.01084921789278521,0.29655661660976257,0.33876265278059803,0.2034764623677223,0.12415529590376398,0.012859454511277653,0.012364782067369587,INDORES13DEL01 ,34,4.7,2022-03-08,2022-03-08 21:35:00,2022-03-08 21:40:00,Sunny,Jam ,Meal ,motorcycle ,0.0,No ,Metropolitian ,33.0,1,indore,indore_Metropolitian ,27.04366812227074,10.58713106938149,1,0,5.0,Indore Kitchen,22.752761,75.883601,22.7418045377776,75.98599736064588
0x1963 ,20.0,2.0,2.0,0.14606765648990389,0.24867771362427288,0.37374249775461643,0.22898471608371443,0.0022622851454099997,0.0002651309020828267,0.0,0.0,0.0,INDORES16DEL01 ,20,4.8,2022-03-07,2022-03-07 11:15:00,2022-03-07 11:20:00,Stormy,High ,Meal ,scooter ,1.0,No ,Metropolitian ,20.0,1,indore,indore_Metropolitian ,27.04366812227074,1.5126021292430178,0,1,5.0,Indore Kitchen,22.752761,75.883601,22.75657419622673,75.86945917300649
0x9502 ,25.0,2.5,2.5,0.0009854864081056637,0.0049219007248733175,0.41627059183354853,0.5587013250843335,0.016800578023368644,0.0022054485591778204,0.00011466936659230887,0.0,0.0,COIMBRES010DEL02 ,30,4.5,2022-03-01,2022-03-01 09:25:00,2022-03-01 09:35:00,Stormy,Low ,Meal ,motorcycle ,1.0,No ,Metropolitian ,25.0,0,coimbatore,coimbatore_Metropolitian ,27.304291287386217,3.1162419915691593,0,0,10.0,Valarmathi Mess,11.0018364,76.9759344,11.012729128397183,77.00223154678929
0x30a1 ,16.0,2.5,1.5,0.02113869865347504,0.3318175018176678,0.2949829773684103,0.3520608221604478,0.0,0.0,0.0,0.0,0.0,HYDRES20DEL03 ,22,4.9,2022-03-12,2022-03-12 20:30:00,2022-03-12 20:40:00,Stormy,Jam ,Buffet ,scooter ,0.0,No ,Metropolitian ,16.0,1,hyderabad,hyderabad_Metropolitian ,27.338254450716455,13.828140500409722,1,1,10.0,63 Degrees Modern Regional Buffet,17.4433254,78.3679466,17.349363379191676,78.45372340667734
0x9a4c ,11.0,1.0,1.0,0.6637580016946515,0.2774984329142209,0.04273817353191652,0.015281924229069323,0.0006195003092516706,0.0,8.754695964119022e-05,0.0,1.6420361247947455e-05,MYSRES02DEL01 ,28,4.7,2022-03-03,2022-03-03 12:15:00,2022-03-03 12:30:00,Sunny,High ,Snack ,motorcycle ,0.0,No ,Urban ,11.0,1,mysuru,mysuru_Urban ,21.95176848874598,6.218076509100711,0,1,15.0,Shavai mysore,12.2649402,76.621179,12.311439369324116,76.65329222770123
0x12e0 ,30.0,2.5,3.0,0.0,0.0007397466320421435,0.011957094935570088,0.5947212994889667,0.10656164225024327,0.17792099440595754,0.08766892474280955,0.015951056096660362,0.004479241447750667,MUMRES19DEL01 ,39,4.9,2022-03-04,2022-03-04 21:10:00,2022-03-04 21:25:00,Sunny,Jam ,Snack ,motorcycle ,1.0,No ,Metropolitian ,30.0,1,mumbai,mumbai_Metropolitian ,26.970575318401405,16.824331819052116,1,0,15.0,Mumbai Snacks,19.0923621,72.85724920000001,19.205923809546768,72.96354478864968
0x48ef ,28.0,3.5,2.5,0.0,0.0,0.0009143769928251777,0.29701745783796146,0.2552231304306255,0.4462316958357754,0.000613338902812587,0.0,0.0,COIMBRES04DEL03 ,37,4.5,2022-04-04,2022-04-04 23:20:00,2022-04-04 23:35:00,Fog,Low ,Drinks ,motorcycle ,1.0,No ,Metropolitian ,28.0,0,coimbatore,coimbatore_Metropolitian ,27.304291287386217,14.021756535050493,1,1,15.0,Lord of The Drinks Coimbatore,11.0212929,76.99822569999999,11.087218550610674,76.88862069781702
0x5762 ,23.0,2.5,2.0,0.014470158164033839,0.23924302850961116,0.3087139485450484,0.4375449933414355,2.7871439870864042e-05,0.0,0.0,0.0,0.0,VADRES010DEL02 ,25,5.0,2022-03-12,2022-03-12 20:30:00,2022-03-12 20:45:00,Stormy,Jam ,Buffet ,scooter ,1.0,No ,Metropolitian ,23.0,1,vadodara,vadodara_Metropolitian ,27.81117021276596,12.116946920849994,1,1,15.0,Teal Restaurant,22.3099297,73.1712223,22.252015766601957,73.07146514630364
0xab40 ,15.0,2.5,1.5,0.002030454133124151,0.2856642796227576,0.21948454453218857,0.49242718013859205,0.00020799124247400112,0.00010582010582010581,7.973022504274602e-05,0.0,0.0,COIMBRES18DEL02 ,22,4.2,2022-04-05,2022-04-05 23:20:00,2022-04-05 23:35:00,Stormy,Low ,Meal ,motorcycle ,1.0,No ,Metropolitian ,15.0,0,coimbatore,coimbatore_Metropolitian ,27.304291287386217,7.790177003822013,0,0,15.0,Valarmathi Mess,11.0018364,76.9759344,10.992101504535253,77.0465308688795
0x905f ,26.0,2.0,2.5,0.012805148923939136,0.31866185582458584,0.3506514215458732,0.3174724830011749,0.000271728067064017,0.00013736263736263736,0.0,0.0,0.0,MYSRES07DEL02 ,29,4.9,2022-03-23,2022-03-23 20:30:00,2022-03-23 20:35:00,Stormy,Jam ,Snack ,motorcycle ,1.0,No ,Metropolitian ,26.0,1,mysuru,mysuru_Metropolitian ,27.17863720073665,12.435204072231338,1,1,5.0,Shavai mysore,12.2649402,76.621179,12.347079393003208,76.69922087573636
0x3dfa ,31.0,3.0,3.0,0.0,0.0,0.0,0.0,0.9971276301218163,0.0006699889258028792,0.002202380952380952,0.0,0.0,JAPRES13DEL02 ,34,4.3,2022-04-05,2022-04-05 20:20:00,2022-04-05 20:35:00,Fog,Jam ,Buffet ,motorcycle ,1.0,No ,Metropolitian ,31.0,1,jaipur,jaipur_Metropolitian ,27.549778315195486,7.450285845946469,0,0,15.0,"TGIB: The Grand Indian Buffet ( Pure Veg Buffet Restaurant), Vaishali Nagar Jaipur",26.9117982,75.7491156,26.866231663734396,75.80425957021346
0x23b5 ,33.0,3.0,3.0,0.0,0.0,0.0,0.0,0.9990272243332989,0.0009727756667009002,0.0,0.0,0.0,RANCHIRES13DEL01 ,36,4.0,2022-03-11,2022-03-11 15:35:00,2022-03-11 15:45:00,Sandstorms,Medium ,Meal ,motorcycle ,1.0,No ,Metropolitian ,33.0,1,ranchi,ranchi_Metropolitian ,27.371773750686437,6.037116126732456,0,1,10.0,The Reef Rooftop Restaurant,23.3655328,85.3438771,23.41788563826443,85.32742238046266
0x7a6 ,15.0,1.5,1.5,0.3142064551865742,0.5505565759577603,0.06850475021232541,0.06333955811084555,0.003155591566977805,0.00023706896551724135,0.0,0.0,0.0,SURRES06DEL01 ,27,4.8,2022-03-25,2022-03-25 17:40:00,2022-03-25 17:45:00,Sunny,Medium ,Meal ,scooter ,1.0,No ,Urban ,15.0,1,surat,surat_Urban ,23.008595988538683,10.641103649666686,1,1,5.0,Levvel 5 Restaurant & Levvel 5 Delicacy (Ready To Eat),21.1860371,72.79435409999999,21.11172304115293,72.85932040639133
0x7da3 ,48.0,5.0,4.5,0.0,0.0,5.558643690939411e-06,0.0,5.102371527343935e-05,0.002838772575593298,0.254607419749447,0.2728901842004637,0.4696070411155317,PUNERES17DEL02 ,33,4.6,2022-03-18,2022-03-18 19:10:00,2022-03-18 19:15:00,Fog,Jam ,Snack ,motorcycle ,1.0,No ,Metropolitian ,48.0,1,pune,pune_Metropolitian ,27.299866131191433,19.916432533839362,1,0,5.0,Cafe Goodluck,18.5173131,73.8414923,18.670090338871862,73.94117863482758
0x2dba ,26.0,2.0,2.5,0.0020832181690602918,0.006149318473990417,0.6847775071924495,0.30656079191504065,0.000429164249460022,0.0,0.0,0.0,0.0,MYSRES02DEL01 ,35,4.9,2022-04-03,2022-04-03 08:15:00,2022-04-03 08:20:00,Sandstorms,Low ,Drinks ,scooter ,1.0,No ,Urban ,26.0,0,mysuru,mysuru_Urban ,21.95176848874598,1.5545625412407003,0,1,5.0,The Old House,12.2995764,76.6424693,12.296215715822024,76.65634529477606
0x8c75 ,41.0,4.0,4.0,0.0,0.0,0.0,0.0,0.03326667973109194,0.1877242212949688,0.41506967005273393,0.17367345042139118,0.19026597849981527,INDORES15DEL02 ,30,4.4,2022-03-06,2022-03-06 20:45:00,2022-03-06 20:55:00,Windy,Jam ,Meal ,motorcycle ,2.0,No ,Metropolitian ,41.0,1,indore,indore_Metropolitian ,27.04366812227074,12.098761963862449,1,0,10.0,Indore Kitchen,22.752761,75.883601,22.737546545846364,75.76695795307737
0x4629 ,28.0,2.0,2.5,0.012743537744119904,0.31620855363066436,0.3579368518572508,0.3123653774295855,0.0002844059509282821,0.0003807904900668378,8.048289738430584e-05,0.0,0.0,JAPRES02DEL03 ,28,4.9,2022-03-20,2022-03-20 19:20:00,2022-03-20 19:35:00,Stormy,Jam ,Drinks ,scooter ,1.0,No ,Urban ,28.0,1,jaipur,jaipur_Urban ,24.03595206391478,20.85154468962371,1,1,15.0,Sura - Cocktails & Cuisine,26.9162084,75.7958993,26.80137679057587,75.96212912407319
0x7e89 ,22.0,2.5,2.0,0.000612593984962406,0.0014895676691729326,0.3974576723032905,0.5586941507444595,0.021696007800435308,0.01777461542603254,0.0022753920716473276,0.0,0.0,COIMBRES07DEL02 ,25,4.6,2022-03-04,2022-03-04 22:50:00,2022-03-04 23:05:00,Cloudy,Low ,Drinks ,electric_scooter ,1.0,No ,Metropolitian ,22.0,1,coimbatore,coimbatore_Metropolitian ,27.304291287386217,20.25510293833981,1,1,15.0,Lord of The Drinks Coimbatore,11.0212929,76.99822569999999,11.141921354671025,77.13770280997775
0xc24f ,43.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0005167487914031693,0.01612526643005833,0.2774871488721573,0.2939456664811338,0.41192516942524776,KNPRES09DEL03 ,35,4.8,2022-02-16,2022-02-16 19:55:00,2022-02-16 20:10:00,Windy,Jam ,Buffet ,motorcycle ,2.0,Yes ,Metropolitian ,43.0,1,kanpur,kanpur_Metropolitian ,27.486486486486488,13.428939356135642,1,0,15.0,Dadi ki Rasoi,26.4670623,80.30841989999999,26.507611290843325,80.18148899810012
0xe074 ,33.0,2.0,3.0,0.0,0.0006349206349206349,0.46799102763452166,0.3659052326840606,0.16497083106179883,0.0004979879846989481,0.0,0.0,0.0,ALHRES14DEL02 ,31,4.1,2022-02-13,2022-02-13 08:55:00,2022-02-13 09:00:00,Windy,Low ,Buffet ,motorcycle ,1.0,No ,Metropolitian ,33.0,0,prayagraj,prayagraj_Metropolitian ,28.66747572815534,2.9961369047359456,0,0,5.0,Mata Ji Ki Rasoi Pure Veg Unlimited Buffet Restaurant,25.4487039,81.83245629999999,25.475698882130025,81.8306295429718
0x63a5 ,18.0,2.5,1.5,0.10395547589947018,0.2602737136725135,0.26970011002068195,0.3635911859798058,0.0021114542947711958,0.00036806013275781567,0.0,0.0,0.0,CHENRES15DEL01 ,22,4.9,2022-03-05,2022-03-05 14:55:00,2022-03-05 15:00:00,Sandstorms,High ,Buffet ,motorcycle ,1.0,No ,Metropolitian ,18.0,1,chennai,chennai_Metropolitian ,27.45638766519824,6.209485128886319,0,1,5.0,"AB's - Absolute Barbecues | T. Nagar, Chennai",13.045338,80.24122799999999,12.992548035352366,80.26067443003089
0x4a55 ,30.0,2.0,3.0,0.00177902289064324,0.004362608888236999,0.3739096990410772,0.3652520866442476,0.2543682331637893,0.0003283493720061979,0.0,0.0,0.0,SURRES05DEL03 ,29,4.6,2022-03-03,2022-03-03 21:20:00,2022-03-03 21:35:00,Fog,Jam ,Snack ,scooter ,1.0,No ,Metropolitian ,30.0,1,surat,surat_Metropolitian ,27.114797031863816,4.560903158461033,0,1,15.0,Shree Sainath Snacks,21.1883329,72.81337359999999,21.225594098690195,72.79464374562109
0xa0c7 ,18.0,1.0,1.5,0.5814222144688204,0.40260643225959786,0.014272693716972406,0.0016986595546098597,0.0,0.0,0.0,0.0,0.0,COIMBRES07DEL01 ,28,4.8,2022-03-15,2022-03-15 08:50:00,2022-03-15 08:55:00,Windy,Low ,Drinks ,scooter ,0.0,No ,Metropolitian ,18.0,0,coimbatore,coimbatore_Metropolitian ,27.304291287386217,1.5582406301371106,0,1,5.0,Lord of The Drinks Coimbatore,11.0212929,76.99822569999999,11.007328739270566,76.99634610983009
0x59da ,40.0,3.5,4.0,0.0,0.0,2.897455278407659e-05,2.4689003327187572e-05,0.07633450631399084,0.3266896600558933,0.2818459921570071,0.14070314922690763,0.17437302869009003,JAPRES15DEL03 ,35,4.2,2022-03-25,2022-03-25 20:35:00,2022-03-25 20:45:00,Windy,Jam ,Drinks ,motorcycle ,1.0,No ,Metropolitian ,40.0,1,jaipur,jaipur_Metropolitian ,27.549778315195486,13.407092693002484,1,0,10.0,Sura - Cocktails & Cuisine,26.9162084,75.7958993,26.992795748963115,75.9004326071221
0x3732 ,29.0,2.5,2.5,0.17434958620075922,0.2766447907944365,0.25124879763092994,0.29720943610096817,0.0003880073449954808,0.00015938192791074704,0.0,0.0,0.0,PUNERES12DEL01 ,24,4.6,2022-03-11,2022-03-11 14:45:00,2022-03-11 15:00:00,Windy,High ,Snack ,scooter ,1.0,No ,Metropolitian ,29.0,1,pune,pune_Metropolitian ,27.299866131191433,6.129085334979291,0,1,15.0,Cafe Goodluck,18.5173131,73.8414923,18.55693014424811,73.80093386047551
0xba1c ,28.0,2.5,2.5,0.0,0.002100935899753731,0.40075298775800955,0.5823836843822113,0.014695946777300855,6.64451827242525e-05,0.0,0.0,0.0,VADRES010DEL02 ,35,4.8,2022-03-05,2022-03-05 22:10:00,2022-03-05 22:25:00,Fog,Low ,Meal ,motorcycle ,1.0,No ,Urban ,28.0,1,vadodara,vadodara_Urban ,23.208695652173912,7.573467821949916,0,0,15.0,Jassi De Parathe,22.310729,73.16623600000001,22.24683240327221,73.19244228952908
0x9dc6 ,44.0,3.5,4.0,0.0,0.0,0.0007396289245873497,0.0004836233225290976,0.012214265357759359,0.5238109558721741,0.2819206617239028,0.18044106491022088,0.00038979988882712624,MUMRES13DEL02 ,32,4.6,2022-03-31,2022-03-31 18:00:00,2022-03-31 18:10:00,Cloudy,Medium ,Meal ,motorcycle ,1.0,No ,Metropolitian ,44.0,1,mumbai,mumbai_Metropolitian ,26.970575318401405,12.23475004893086,1,0,10.0,Mumbai Meals,-29.8350836,30.9880832,-29.775035968215242,30.88189512073437
0x70fb ,49.0,4.5,4.5,0.0,0.0,0.00018633540372670808,4.140786749482402e-05,0.023700382554795375,0.02339256210700059,0.03774010832537693,0.5563790459587592,0.358560157782846,RANCHIRES16DEL02 ,37,4.1,2022-04-05,2022-04-05 19:10:00,2022-04-05 19:15:00,Stormy,Jam ,Snack ,motorcycle ,3.0,No ,Metropolitian ,49.0,1,ranchi,ranchi_Metropolitian ,27.371773750686437,7.546361142984559,0,0,5.0,Snacks Street,23.3605369,85.3268531,23.381008535408952,85.25645304631401
0xcff5 ,10.0,1.5,1.0,0.3833761014836876,0.610171380485423,0.005926355891133122,0.0005261621397559429,0.0,0.0,0.0,0.0,0.0,LUDHRES010DEL01 ,27,4.6,2022-02-17,2022-02-17 09:50:00,2022-02-17 10:05:00,Cloudy,Low ,Meal ,scooter ,1.0,No ,Urban ,10.0,0,ludhiana,ludhiana_Urban ,22.835616438356166,1.4652050018990022,0,1,15.0,Colonel's Cabin,30.8905695,75.8290091,30.87912467915712,75.83667163403211
0x521c ,17.0,1.5,1.5,0.0,0.9981995068588839,0.00024302064885380542,0.0009397299439398644,0.0005707500671192345,4.6992481203007515e-05,0.0,0.0,0.0,INDORES010DEL03 ,33,4.7,2022-03-11,2022-03-11 17:45:00,2022-03-11 17:50:00,Fog,Medium ,Snack ,motorcycle ,0.0,No ,Metropolitian ,17.0,1,indore,indore_Metropolitian ,27.04366812227074,9.074684164326316,0,1,5.0,Vijay Chaat House (Chappan Dukan),22.7237365,75.8846232,22.643600528338066,75.90308214839614
0xd189 ,13.0,1.0,1.0,0.3174925016752192,0.2378275835155064,0.18714771061586294,0.25618257680946843,0.000901778442457627,0.00036336002641997804,4.273560651223731e-05,0.0,4.175330855541706e-05,GOARES18DEL01 ,23,4.6,2022-02-15,2022-02-15 15:35:00,2022-02-15 15:45:00,Sandstorms,Medium ,Buffet ,motorcycle ,0.0,No ,Metropolitian ,13.0,1,goa,goa_Metropolitian ,26.96127562642369,6.1766084827181205,0,0,10.0,Waterfront Terrace & Bar,15.488223,73.80991999999999,15.458210289569333,73.85845048473843
0x9e5b ,23.0,2.5,2.0,0.0,0.0016601943196776338,0.47985353391373475,0.4923485903553014,0.012827813127240252,0.005619108339314073,0.004525910598408535,0.002596914493224613,0.0005679348530981575,COIMBRES11DEL03 ,33,4.9,2022-03-25,2022-03-25 22:50:00,2022-03-25 23:05:00,Stormy,Low ,Buffet ,motorcycle ,0.0,No ,Metropolitian ,23.0,1,coimbatore,coimbatore_Metropolitian ,27.304291287386217,14.022298282479131,1,0,15.0,Welcomcafe Kovai,10.9963376,76.97384339999999,10.870699899106626,76.9567547358988
0x1818 ,46.0,4.0,4.5,0.0,0.0,0.0,0.0,0.0016062338000907015,0.02636788166809753,0.4732898063233265,0.3206100224732055,0.1781260557352805,INDORES010DEL02 ,38,4.6,2022-03-06,2022-03-06 21:10:00,2022-03-06 21:15:00,Fog,Jam ,Drinks ,motorcycle ,2.0,No ,Metropolitian ,46.0,1,indore,indore_Metropolitian ,27.04366812227074,19.659494006263994,1,0,5.0,Skyhouse Cocktail Garden,22.7518422,75.89687649999999,22.611072408587454,75.78031007157556
0x171c ,54.0,4.0,5.0,0.0,0.0,5.558643690939411e-06,0.0,1.6969904623884017e-05,0.0038640842332359,0.42139456139363973,0.29394469467392004,0.28077413115088984,CHENRES04DEL01 ,31,4.9,2022-04-06,2022-04-06 21:50:00,2022-04-06 21:55:00,Fog,Jam ,Snack ,motorcycle ,0.0,No ,Metropolitian ,54.0,1,chennai,chennai_Metropolitian ,27.45638766519824,17.074786485938343,1,0,5.0,Kerala Hot Chips & Snacks,13.0741047,80.22915239999999,12.919796971293964,80.23240718805027
0x4734 ,49.0,4.0,4.5,0.0,0.0,0.0,0.0,0.01132290887199066,0.027067350331376992,0.5117005572862001,0.4211390697026393,0.02877011380779313,BANGRES19DEL02 ,32,4.0,2022-03-07,2022-03-07 19:40:00,2022-03-07 19:55:00,Sandstorms,Jam ,Meal ,motorcycle ,1.0,Yes ,Metropolitian ,49.0,1,bengaluru,bengaluru_Metropolitian ,27.103890362511052,7.763485791200292,0,0,15.0,Central Tiffin Room,12.9980282,77.5695557,12.993881484653034,77.64099241285686
0xb11c ,17.0,1.5,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHENRES11DEL01 ,35,4.9,2022-03-11,2022-03-11 10:30:00,2022-03-11 10:45:00,Fog,Low ,Buffet ,electric_scooter ,1.0,No ,Metropolitian ,17.0,0,chennai,chennai_Metropolitian ,27.45638766519824,1.5523012503298028,0,1,15.0,"AB's - Absolute Barbecues | T. Nagar, Chennai",13.045338,80.24122799999999,13.043004704981291,80.25534020594117
0xb6a1 ,23.0,2.5,2.0,0.0006917915967288252,0.0014616343036490307,0.4154448587505961,0.5674577486563402,0.010654007487885782,0.004111387776228466,0.00017857142857142857,0.0,0.0,CHENRES01DEL02 ,22,4.5,2022-03-02,2022-03-02 22:10:00,2022-03-02 22:15:00,Cloudy,Low ,Snack ,scooter ,1.0,No ,Metropolitian ,23.0,1,chennai,chennai_Metropolitian ,27.45638766519824,20.17984922053873,1,1,5.0,Kerala Hot Chips & Snacks,13.0741047,80.22915239999999,12.953673144362819,80.08943572459883
